tipo_de_acidente;grupo_tdacidente;sub_grupo_tdacidente
Abalroamanento Traversasl;Choque;Choque com Veiculos
Choque-outros;Choque;Choque Objeto
Abalr.sentido oposto;Choque;Choque com Veiculos
Choque na cancela;Choque;Choque Objeto
Abalroamento no mesmo Sentido;Choque;Choque com Veiculos
Atropelamento com morte;Atropelamento;Atropelamento
Choque com veículo na faixa de;Choque;Choque Objeto
Atropelamento - PedestreFuncionário;Atropelamento;Atropelamento
Atropelamento - Pedestre Usuário;Atropelamento;Atropelamento
Atropelamento - Pedestre Andarilho;Atropelamento;Atropelamento
colisão frontal;Colisao;Colisao Frontal
atropelamento;Atropelamento;Atropelamento
abalr.mesmo Sentido;Choque;Choque com Veiculos
abalr. Transversal;Choque;Choque com Veiculos
Choque / árvore;Choque;Choque Objeto
Abal.mesmo sentido;Choque;Choque com Veiculos
Choque / objeto não identificado;Choque;Choque Objeto
"Choque / defensa, barreira ou ""submarino""";Choque;Choque Objeto
Atropelamento - Esportista/Romeiro;Atropelamento;Atropelamento 
Choque - Defensa, barreira ou submarino;Choque;Choque Objeto
 ;Missing;Missing
